RefSeq mRNA	UniProt Gene Name	Strand	Associated Gene Name
		-1	BCAR4
		1	AC020926.1
		-1	AC005632.1
		1	AC133552.1
		1	AC106739.1
		1	AC145285.1
		1	AC109460.2
		1	AC009133.2
		1	AC120114.3
		1	AC012645.1
		1	AC002310.2
		1	AC002310.1
		1	AC135050.2
		-1	AC026462.2
		-1	CRNDE
		-1	CRNDE
		-1	AC007495.1
		1	AC092378.1
		1	AC132186.1
		1	AC044802.1
		-1	AC009060.1
		1	AC010547.1
		-1	AC099508.1
		1	AC009163.1
		1	AC108125.1
		1	AC092718.1
		1	AC026469.1
		-1	AC092275.1
		1	AC040170.1
		-1	AC009108.1
		-1	AC009108.1
		-1	AC009108.1
		1	AC106745.1
		1	AC138028.2
		-1	AC135782.1
		-1	AC092123.1
		1	AL356752.1
		-1	AL158032.1
		1	AL136962.1
		1	AL136962.1
		-1	AL162853.2
		1	AL157931.2
		1	AL359454.1
		1	AL354696.2
		1	AL442203.1
		-1	NCRNA00282
		-1	NCRNA00282
		1	AL139082.1
		-1	AL353896.1
		1	AL353660.1
		-1	AL137061.2
		-1	AL356423.1
		-1	AL139035.1
		-1	AL139035.1
		-1	AL137139.2
		1	AC139100.1
		1	AP002478.2
		-1	AC091588.1
		1	AC022884.1
		1	AC021224.1
		-1	AC016205.1
		-1	AC016205.1
		-1	AC016205.1
		-1	AC015959.1
		-1	AC022031.1
		1	AC022724.1
		1	AC114689.1
		-1	AC091305.1
		-1	AC079062.1
		-1	AC079062.1
		-1	AC116904.1
		1	AC034110.1
		1	AC034110.2
		1	AC034110.2
		1	AL391244.1
		1	AL691432.1
		1	AL137798.2
		-1	AL137798.3
		-1	AL451000.1
		-1	AL513497.1
		-1	AL596225.1
		-1	AL359540.1
		1	AL031427.1
		1	AC091609.1
		1	AL160008.1
		1	AL356735.1
		1	AL390877.1
		1	AL122007.1
		1	AL049742.2
		1	BX842679.1
		1	AL356356.4
		-1	AL645568.1
		1	AL359853.2
		-1	AL355999.1
		-1	AL353709.1
		1	AC119673.1
		1	AC007326.1
		1	AC000079.1
		-1	D87024.2
		-1	D87024.2
		-1	D87024.2
		1	AL049757.1
		1	AL078611.1
		1	AL021392.1
		1	AL671710.1
		-1	AC132872.4
		1	AC132872.3
		-1	AC132872.2
		-1	AC024361.1
		-1	AC005696.2
		1	AC005323.1
		-1	AC005224.1
		1	AC026271.1
		1	SUZ12P
		1	SUZ12P
		1	AC138207.1
		-1	AC005899.1
		-1	AC022916.1
		-1	AC126327.1
		-1	AC008105.1
		1	AC003963.1
		-1	AC068152.2
		-1	AC068234.1
		1	AC103702.1
		-1	AC007638.1
		-1	AC015813.1
		1	AC005702.2
		1	AC068512.1
		-1	AC107377.1
		-1	AC080037.2
		1	AC018665.1
		-1	AC015802.1
		1	AC021683.1
		-1	AC100791.3
		-1	AC127496.4
		1	AC139530.1
		1	AC145207.1
		-1	AC108488.1
		-1	AC008069.3
		-1	AC013413.1
		1	AC009406.1
		-1	AC019206.1
		1	AC012366.1
		1	AC010913.1
		1	AC093162.2
		1	AC133644.1
		1	AC092636.1
		1	AC013722.2
		1	AC005035.2
		-1	AC010976.1
		1	AC074099.1
		1	AC007739.1
		-1	AC079305.1
		1	AC006483.1
		1	AC007130.1
		1	AC007245.1
		1	AC093081.1
		1	AC017116.1
		-1	AC073210.1
		1	AC011904.1
		-1	MESTIT1
		-1	AC104597.1
		-1	AC005586.2
		-1	AP000337.1
		-1	AL109616.1
		-1	AP000688.1
		-1	AP000689.1
		1	AP001630.1
		-1	AP006284.1
		-1	AC127526.2
		-1	AC127526.2
		-1	AC103681.1
		-1	AP003716.1
		-1	AC004923.1
		1	AP000808.1
		1	AP003071.1
		1	AP002008.1
		-1	AP001318.3
		-1	AP001318.3
		-1	AP003486.1
		-1	TRGJP2
NM_001003806	TARP	-1	TRGC1
NM_001003799	TARP	-1	TRGC1
		-1	TRGJ1
		-1	TRGJP
		-1	TRGJP1
	TRGV11	-1	TRGV11
		-1	TRGVB
		-1	TRGV10
	TRGV9	-1	TRGV9
	LOC402482	-1	TRGV9
		-1	TRGVA
		-1	TRGV8
		-1	TRGV7
		1	RP11-504P24.3
		-1	TRGV6
		1	RP11-504P24.4
		1	RP11-504P24.4
		-1	TRGV5P
		-1	TRGV5
		-1	RP11-504P24.5
		-1	TRGV4
		-1	RP11-365O16.1
		-1	RP11-365O16.3
		-1	RP11-365O16.3
	TRGV3	-1	TRGV3
		1	RP11-365O16.6
		1	RP11-365O16.5
		-1	TRGV2
		1	AKR1B1P1
		-1	TRGV1
		-1	RP11-100E13.1
		1	IGHV2OR16-5
		-1	RP11-100E13.3
		-1	RP11-3L21.2
		1	RP11-449J1.1
		-1	IGHV3OR16-8
		-1	RP11-496N12.6
		-1	RP11-496N12.6
		1	RP11-145A3.1
	IGKC	-1	IGKC
		-1	RP11-145A3.2
		1	RP11-145A3.4
		-1	IGKJ5
		-1	RP11-285F7.2
		-1	IGKJ4
		-1	RP4-559A3.6
		-1	IGKJ3
		1	RP4-559A3.5
		1	RP11-396C23.2
		1	RP11-275I14.4
		-1	IGKJ2
		-1	RP11-275I14.2
		-1	IGKJ1
		-1	YBX1P9
	IGKV4-1	1	IGKV4-1
		1	RP11-118H4.1
		-1	CDKN2AIPNLP1
		-1	CDKN2AIPNLP1
		1	IGKV5-2
		-1	IGKV7-3
		-1	ITPKB-IT1
		-1	ITPKB-IT1
		-1	IGKV2-4
		1	ITPKB-AS1
	IGKV1-5	-1	IGKV1-5
		1	RPS27P5
		-1	RP5-1087E8.2
		-1	IGKV1-6
		1	RP5-1087E8.3
		-1	IGKV3-7
		1	RP11-1B20.1
		-1	IGKV1-8
		1	RP11-211A18.2
		-1	RP11-211A18.1
		-1	IGKV1-9
		1	CTD-2090I13.1
		1	CTD-2090I13.1
		-1	IGKV2-10
		-1	CTD-2090I13.2
		-1	IGKV3-11
		1	CTD-2090I13.3
		-1	IGKV1-12
		1	BTF3P9
		-1	IGKV1-13
		1	RP11-275O4.4
		-1	IGKV2-14
		-1	RP11-275O4.1
		-1	IGKV3-15
		-1	IGKV1-16
		1	RP11-275O4.2
		-1	IGKV1-17
		-1	RP11-275O4.3
		-1	IGKV2-18
		-1	RP4-566D2.1
		-1	ZNF847P
		-1	ZNF847P
		-1	ZNF847P
		-1	IGKV2-19
		-1	IGKV3-20
		1	RP5-870F10.4
		-1	IGKV6-21
		-1	RP11-192I3.2
		-1	RP11-192I3.2
		-1	IGKV1-22
		-1	RP5-881P19.6
		-1	RP11-520H14.1
		-1	IGKV2-23
		1	OBSCN-IT1
		1	OBSCN-IT2
		-1	IGKV2-24
		1	RP11-245P10.4
		-1	IGKV3-25
		-1	RP5-915N17.3
		-1	IGKV2-26
		-1	HIST3H2BA
		-1	HIST3H2BA
		-1	IGKV1-27
		1	DUSP5P
		1	DUSP5P
		-1	IGKV2-28
		1	FTH1P2
		1	FTH1P2
		-1	IGKV2-29
		1	ISCA1P2
		-1	IGKV2-30
		-1	RP5-1065P14.2
		-1	RP5-1061H20.5
		-1	IGKV3-31
		-1	RP5-1061H20.4
		-1	RP5-1061H20.4
		-1	IGKV1-32
		-1	RP5-1061H20.3
		1	RP4-803J11.2
		-1	IGKV1-33
		1	RP5-1068B5.1
		-1	IGKV3-34
		-1	RP5-1068B5.3
		1	RP4-613A2.1
		-1	IGKV1-35
		1	HMGN2P19
		-1	IGKV2-36
		-1	RP11-108F13.2
		-1	IGKV1-37
		-1	HMGB1P26
		-1	RP11-286M16.1
		-1	IGKV2-38
		1	RP11-552D4.1
		-1	IGKV1-39
		-1	RP5-956O18.2
		-1	RP5-956O18.3
		-1	IGKV2-40
		-1	AL691479.1
		1	RP11-543E8.1
		-1	RP11-543E8.2
	IGKC	1	IGKV2D-40
		-1	RP11-99J16__A.2
		-1	RP11-99J16__A.2
		-1	RP11-99J16__A.2
	IGKC	1	IGKV1D-39
		1	IGKV2D-38
		-1	RP5-858B6.1
		1	IGKV1D-37
		1	RP5-858B6.3
		1	RP11-423F24.3
		1	IGKV2D-36
		-1	RP5-1097F14.1
		1	IGKV1D-35
		-1	RP5-1097F14.3
		-1	RP5-1097F14.3
		1	IGKV3D-34
		-1	SNRPD2P2
		1	IGKV1D-33
		-1	RP11-295G20.2
		-1	RP11-295G20.2
		-1	RP11-295G20.2
		-1	RP11-295G20.2
		-1	RP11-295G20.2
		1	IGKV1D-32
		1	IGKV3D-31
		1	IGKV2D-30
		-1	RP11-17H4.2
		1	IGKV2D-29
		1	DISC1-IT1
		1	RP5-865N13.2
		1	IGKV2D-28
		-1	RP5-865N13.1
		-1	RP11-284L19.1
		1	IGKV1D-27
		1	RP4-743D20.1
		1	RP11-66A2.1
		1	IGKV2D-26
		-1	RP11-66A2.2
		1	RP4-659I19.1
		1	IGKV3D-25
		-1	RPS7P3
		1	IGKV2D-24
		-1	RP5-862P8.3
		-1	RP11-301G21.1
		1	IGKV2D-23
		-1	RP11-488L4.1
		1	IGKV1D-22
		-1	RAC1P7
		1	IGKV6D-21
		-1	RP4-799P18.2
		1	RP4-799P18.4
		-1	RP4-799P18.3
		1	IGKV3D-20
		1	RP4-799P18.5
		1	IGKV2D-19
		-1	RP5-827C21.1
		1	IGKV2D-18
		1	RP5-827C21.2
		-1	RP5-827C21.4
		1	IGKV6D-41
		-1	RP5-855F14.1
		-1	RP5-855F14.1
		1	IGKV1D-17
		1	RP5-855F14.2
		1	RP4-781K5.2
		1	IGKV1D-16
		1	NCRNA00184
		1	IGKV3D-15
		1	RP4-781K5.4
		1	RP4-781K5.4
		1	RP4-781K5.4
		1	IGKV2D-14
		1	RP4-781K5.5
		1	IGKV1D-13
		-1	RP4-781K5.6
		1	RP4-781K5.7
		1	RP4-781K5.7
		1	IGKV1D-12
		1	IGKV3D-11
		1	RP4-781K5.8
		1	RP11-443B7.2
		1	IGKV2D-10
		-1	RP11-443B7.1
		-1	RP11-443B7.1
		-1	RP11-443B7.1
		-1	RP11-443B7.1
		-1	RP11-443B7.1
	IGLV	1	IGKV1D-42
		1	IGKV1D-43
		-1	RP11-443B7.3
		1	IGKV1D-8
		-1	RP4-597N16.1
		1	IGKV3D-7
		-1	ARID4B-IT1
		1	RPL23AP23
	IGHA2	-1	IGHA2
		-1	AL391994.1
		1	RP11-382D8.3
		1	RP11-382D8.5
		1	RP11-293G6__A.2
		1	RP11-293G6__A.3
	IGHE	-1	IGHE
		1	RP4-534P7.2
		1	MTND6P14
		-1	MTND5P19
	IGHG4	-1	IGHG4
		-1	MTND4P10
		-1	RP11-293G6__B.4
		-1	MTND3P8
	IGHG2	-1	IGHG2
		-1	RP11-293G6__B.2
		1	RP11-365D9.1
		-1	IGHGP
		1	LDHAP2
	SNC73	-1	IGHA1
	DKFZP686J11235	-1	IGHA1
	IGHA1	-1	IGHA1
		-1	LYST-IT1
		-1	LYST-IT2
		-1	IGHEP1
		-1	RP5-940F7.2
		-1	RP4-580N22.2
	IGH@	-1	IGHG1
	IGH@	-1	IGHG1
	IGH@	-1	IGHG1
	IGHG1	-1	IGHG1
	IGHG1	-1	IGHG1
	IGHG1	-1	IGHG1
		1	RP4-764D2.1
		-1	RP11-478H16.1
		1	ENO1P1
		-1	IGHG3
		-1	LGALS8-AS1
		-1	LGALS8-AS1
		-1	RP11-385F5.4
		-1	IGHD
		1	RP11-182B22.2
		1	RPL35P1
	IGHM	-1	IGHM
		-1	AL359259.1
		-1	AL359259.1
		1	RP11-193H5.1
		-1	IGHJ6
		-1	IGHJ3P
		1	RP11-193H5.2
		-1	IGHJ5
		-1	RP11-193H5.5
		-1	IGHJ4
		1	MTND6P15
		-1	MTND5P18
		-1	IGHJ3
		-1	YWHAQP9
		-1	RP11-136B18.1
		-1	IGHJ2P
		1	RP11-136B18.2
		-1	RP11-371I1.2
		-1	IGHJ2
		1	RP11-177F15.1
		1	RP11-371I1.1
		-1	IGHJ1
		-1	MIPEPP2
		-1	IGHD7-27
		-1	RP11-307O1.1
		-1	RP11-544D21.1
		-1	IGHJ1P
		-1	RP11-343J24.1
		-1	RP11-343J24.1
		-1	RP11-343J24.1
		-1	IGHD1-26
		-1	IGHD6-25
		-1	RP11-35L17.2
		-1	RP11-35L17.3
		-1	IGHD5-24
		1	RP11-438O11.1
		-1	IGHD4-23
		1	RPS7P5
		-1	RP11-567G24.1
		-1	IGHD3-22
		1	ADH5P3
		-1	IGHD2-21
		-1	RP11-567G24.3
		-1	RP11-567G24.3
		-1	IGHD1-20
		-1	IGHD6-19
		-1	RP11-177F11.1
		1	RP11-467I20.2
		-1	IGHD5-18
		-1	RP11-467I20.4
		-1	IGHD4-17
		-1	RP11-467I20.6
		-1	IGHD3-16
		-1	RP11-467I20.3
		-1	IGHD2-15
		1	RP11-467I20.5
		-1	RP11-80B9.4
		-1	IGHD1-14
		1	RP11-80B9.1
		-1	IGHD6-13
		-1	PRKRIRP8
		-1	IGHD5-12
		-1	RFKP1
		1	RP11-435F13.1
		-1	IGHD4-11
		-1	RP11-435F13.2
		-1	IGHD3-10
		-1	RP11-306K13.1
		-1	IGHD3-9
		1	RP11-527D7.1
		1	RP11-527D7.1
		-1	IGHD2-8
		1	RP11-553N16.1
		1	RP11-323D18.5
		-1	IGHD1-7
		1	RP11-163G10.4
		1	BECN1P1
		1	BECN1P1
		-1	IGHD6-6
		1	CFL1P4
		1	RP5-994D16.3
		1	RP11-323D18.4
		-1	IGHD5-5
		1	RP5-994D16.7
		-1	RP5-994D16.9
		-1	RP11-561I11.3
		-1	IGHD4-4
		-1	RP11-342M1.4
		1	RP11-561I11.2
		-1	IGHD3-3
		1	RP11-513D4.3
		-1	RP11-342M1.2
		1	RP11-513D4.2
		-1	IGHD2-2
		-1	RP11-342M1.3
		-1	RP11-342M1.3
		-1	RP11-513D4.1
		1	RSL24D1P4
		-1	IGHD1-1
		1	RP11-331N16.1
		-1	RP11-342M1.7
		-1	RP11-261C10.1
		-1	IGHV6-1
		-1	RP11-261C10.2
		-1	RP11-261C10.2
		-1	RP11-261C10.2
		-1	RP11-261C10.2
		-1	RP11-342M1.6
		-1	IGHVII-1-1
		-1	IGHV1-2
		1	ATP6V1E1P1
		1	RP5-848E13.3
		1	RP5-848E13.3
		-1	RP11-261C10.6
		-1	IGHVIII-2-1
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	RP11-261C10.3
		-1	IGHV1-3
		-1	RP1-92O14.3
		-1	IGHV4-4
		1	RP1-92O14.6
		-1	SZT2-AS1
		-1	IGHV2-5
		1	RP11-506B15.6
		-1	RP11-184I16.2
		-1	RP11-184I16.2
		-1	RP11-184I16.2
		-1	RP11-184I16.2
		-1	RP11-184I16.2
		-1	IGHVIII-5-1
		-1	IGHVIII-5-2
		-1	IGHV3-6
		-1	IGHV3-7
		-1	RP11-184I16.4
		1	RP11-184I16.3
		-1	IGHV1-8
		-1	SHMT1P1
		1	RP11-261C10.5
		-1	RP11-7O11.3
		-1	RP11-7O11.3
		-1	RP11-7O11.3
		-1	IGHV3-9
		1	RP11-261C10.4
		1	RP11-261C10.4
		-1	IGHV2-10
		-1	RP11-156F12.1
		1	RP5-1198O20.4
		1	RP5-1198O20.4
		1	RP5-1198O20.4
		1	RP5-1198O20.4
		1	RP5-1198O20.4
		1	RP11-269F20.1
		-1	IGHV3-11
		-1	FABP7P1
		-1	IGHVIII-11-1
		-1	RP5-1198O20.5
		-1	IGHV1-12
		-1	RP11-370K11.1
		-1	RP11-570P14.1
		-1	AKT3-IT1
		-1	IGHV3-13
		1	RP11-278H7.1
		-1	RP4-675G8.2
		-1	IGHVIII-13-1
		-1	RP4-675G8.3
		-1	RP11-278H7.4
		-1	IGHV1-14
		1	RP11-278H7.3
		-1	RP4-675G8.4
		-1	IGHV3-15
		-1	RP11-518L10.2
		-1	RP5-891H21.1
		-1	TGIF2P1
		-1	IGHVII-15-1
		-1	ERI3-IT1
		-1	RP11-523K4.2
		-1	IGHV3-16
		1	RP4-678E16.4
		-1	RP11-173A6.2
		-1	IGHVIII-16-1
		-1	RP11-269F19.2
		-1	RP11-269F19.2
		-1	NCRNA00201
		-1	NCRNA00201
		-1	NCRNA00201
		-1	IGHV1-17
		-1	RP11-269F19.4
		-1	IGHV1-18
		-1	RP5-882O7.1
		-1	RP11-290P14.2
		-1	IGHV3-19
		1	CCNB1IP1P1
		-1	RP11-62I21.1
		-1	IGHV3-20
		-1	RP5-882O7.4
		-1	RP11-62I21.2
		-1	RP5-882O7.5
		-1	IGHVII-20-1
		-1	RP11-522M21.2
		-1	RP11-69J16.4
		-1	RP11-522M21.3
		-1	IGHV3-21
		1	RP11-291L19.1
		1	HMGB1P48
		1	RP11-83A16.1
		-1	IGHV3-22
		1	RP11-36N20.1
		1	RP11-36N20.1
		-1	RP11-767N6.3
		-1	IGHVII-22-1
		-1	RP11-767N6.2
		-1	IGHVIII-22-2
		1	RP11-36N20.2
		-1	RP11-767N6.7
		-1	IGHV3-23
		-1	RP11-88N11.1
		-1	RP11-690C23.4
		1	RP11-630I5.1
		1	RP11-630I5.1
		-1	IGHV1-24
		-1	IGHV3-25
		-1	RP11-735A5.1
		-1	RP11-690C23.2
		1	RP4-533D7.4
		-1	IGHVIII-25-1
		1	RP11-690C23.5
		1	RP4-533D7.3
		-1	RP11-690C23.3
		1	RP4-533D7.5
		-1	IGHV2-26
		1	RP11-439E19.1
		-1	RP11-322N21.2
		-1	IGHVIII-26-1
		-1	RP11-452J6.2
		1	RP4-603I14.3
		-1	IGHVII-26-2
		1	RP11-439E19.7
		1	RP5-1109J22.1
		1	RP5-1109J22.1
		-1	IGHV7-27
		-1	RP11-439E19.6
		1	RP11-439E19.3
		1	RP11-439E19.3
		1	RP11-439E19.3
		1	RP11-439E19.3
		1	RP11-439E19.3
		-1	IGHV4-28
		-1	IGHVII-28-1
		-1	RP5-1109J22.2
		-1	IGHV3-29
		1	RP5-1109J22.3
		-1	RP11-8J9.1
		-1	RP11-439E19.5
NM_001145474		1	ATPAF1-AS1
		1	ATPAF1-AS1
		-1	IGHV3-30
		1	RP11-397A15.4
		1	RP11-551G24.3
		-1	IGHVII-30-1
		1	RP11-8J9.4
		1	RP11-8J9.4
		1	RP11-551G24.2
		-1	IGHV3-30-2
		-1	RP11-107G24.3
		-1	IGHV4-31
		1	RP11-8J9.5
		1	FGFR3P6
		-1	IGHVII-31-1
		1	RP11-488L18.6
		-1	CYP4Z2P
		-1	CYP4Z2P
		-1	IGHV3-32
		-1	RP11-488L18.3
		-1	RP11-488L18.4
		-1	RP11-488L18.4
		-1	IGHV3-33
		-1	RP11-488L18.8
		-1	IGHVII-33-1
		1	RP11-488L18.1
		-1	IGHV3-33-2
		-1	VN1R17P
		1	RP11-346M5.1
NM_173858		1	VN1R5
		-1	IGHV4-34
		1	RP11-184J23.2
		-1	RP1-18D14.3
		1	OR2W5
		1	OR2W5
NM_001004698		1	OR2W5
		-1	MTND1P34
		-1	IGHV7-34-1
		-1	RP11-978I15.9
		1	RP1-18D14.4
		-1	IGHV3-35
		-1	RP11-978I15.10
		-1	RP11-978I15.10
		1	RP1-18D14.7
		-1	IGHV3-36
		1	OR14L1P
		1	OR14L1P
		-1	RP11-511I2.2
		1	RP11-634B7.4
		-1	IGHV3-37
		-1	RP11-511I2.5
		1	RP11-634B7.1
		-1	RP11-634B7.5
		-1	RP11-634B7.5
		-1	IGHV3-38
		-1	RPL21P24
		1	ATP6V0E1P4
		-1	IGHVIII-38-1
		1	RP11-543D5.1
		1	OR9H1P
		-1	IGHV4-39
		1	HSD17B7P1
		-1	RP11-543D5.2
		-1	RP11-438H8.3
NM_001194986		-1	RP11-543D5.3
		-1	IGHV7-40
		1	RP11-330M19.1
		-1	RP4-683M8.1
		-1	IGHVII-40-1
		-1	RP11-438H8.8
		1	RP4-683M8.2
		1	RP4-683M8.2
		-1	IGHV3-41
		1	RP11-438H8.9
		-1	IGHV3-42
		1	RP11-430I15.2
		-1	RP11-193P11.3
		1	CYP46A4P
		1	RP11-430I15.3
		-1	SKINTL
		-1	IGHV3-43
		1	RP11-430I15.4
		-1	RP11-132G10.2
		-1	RP11-132G10.2
		-1	RP5-1024N4.1
		-1	RP5-1024N4.1
		-1	IGHVII-43-1
		1	OR2M1P
		1	RP5-1024N4.2
		1	RP11-407H12.4
		-1	IGHVIII-44
		-1	RP11-407H12.8
		-1	RP11-252A4.2
		-1	IGHVIV-44-1
		1	RP11-438F14.3
		1	RP11-438F14.3
		1	RP11-329A14.1
		-1	IGHVII-44-2
		-1	RP11-329A14.2
		-1	RP11-438F14.1
		-1	IGHV1-45
		1	RP11-141A19.1
		1	XX-CR54.1
		1	RP11-141A19.2
		-1	XX-CR54.3
		-1	AGBL4-IT1
		-1	IGHV1-46
		-1	XX-CR54.2
		-1	RP5-926E3.1
		-1	IGHVII-46-1
		-1	AL672296.1
		-1	IGHV3-47
		1	ZNF859P
		1	AL672294.1
		-1	IGHVIII-47-1
		1	AL672183.2
		1	MTND2P29
		-1	IGHV3-48
		1	D88270.1
		1	RP11-492I2.1
		-1	RP11-567C20.2
		-1	AC233282.1
		-1	IGHV3-49
		-1	RP11-567C20.3
		1	AC068279.3
		1	RP11-183G22.1
		1	RP11-183G22.1
		-1	IGHVII-49-1
		-1	VSIG6
		-1	IGHV3-50
		-1	HMGB1P45
		-1	IGHV5-51
		1	IGHV1OR21-1
		-1	RP11-183G22.3
		-1	IGKV2OR22-4
		1	RP5-850O15.3
		-1	IGHVIII-51-1
		1	PHBP12
		-1	IGKV2OR22-3
		-1	IGHVII-51-2
		1	MRPS6P2
		-1	IGKV3OR22-2
		-1	IGHV3-52
		-1	CFL1P2
		-1	IGKV1OR22-1
		-1	IGHV3-53
		-1	RP11-296A18.3
		1	IGHEP2
		-1	RP11-296A18.5
		-1	IGHVII-53-1
		1	IGLVI-70
		-1	IGHV3-54
		1	RP11-296A18.6
	IGLV4-69	1	IGLV4-69
		1	RP11-296A18.7
		-1	IGHV4-55
		1	IGLVI-68
		1	RP11-275F13.1
		1	RP11-275F13.1
		1	RP11-275F13.3
		1	IGLV10-67
		-1	IGHV7-56
		1	RP11-253A20.1
		1	IGLVIV-66-1
		-1	IGHV3-57
		1	RP11-191G24.1
		1	RP11-191G24.1
		-1	IGHV1-58
		1	IGLVV-66
		1	IGLVIV-65
		-1	CALR4P
		-1	IGHV4-59
		-1	IGHV4-59
		1	IGLVIV-64
		1	IGLVI-63
		1	IGLV1-62
		-1	GAPDHP51
		-1	IGHV3-60
		1	RP4-657D16.5
		-1	IGHVII-60-1
	IGLV8-61	1	IGLV8-61
		1	RP4-657D16.3
		-1	IGHV4-61
		1	RP11-470H9.1
	IGLV4-60	1	IGLV4-60
		1	RP11-91A18.1
		-1	IGHV3-62
		1	IGLVIV-59
		1	RP11-91A18.4
		-1	IGHVII-62-1
		1	IGLVV-58
		-1	RP4-800M22.1
		-1	IGHV3-63
	V1-22	1	IGLV6-57
		-1	RP4-800M22.2
		-1	IGHV3-64
		1	RP4-800M22.3
		1	IGLVI-56
		-1	IGHV3-65
		-1	RP4-800M22.4
	IGLV11-55	1	IGLV11-55
		-1	IGHVII-65-1
		-1	RP4-814E15.1
		1	ANAPC10P1
	IGLV10-54	1	IGLV10-54
		-1	IGHV3-66
		1	PLA2G12AP1
		1	RP11-25O10.1
		1	IGLVIV-53
		-1	IGHV1-67
		1	RP11-159C21.3
	V4-4	1	IGLV5-52
		-1	IGHVII-67-1
		-1	RP11-159C21.4
		-1	IGHVIII-67-2
	V1-19	1	IGLV1-51
		-1	IGHVIII-67-3
		1	RP4-631H13.2
		-1	IGHVIII-67-4
	V1-18	1	IGLV1-50
		1	RP4-631H13.6
		-1	IGHV1-68
		-1	RP4-631H13.4
	V5-2	1	IGLV9-49
		-1	IGHV1-69
		-1	RP4-631H13.5
	V4-3	1	IGLV5-48
		-1	RP11-334A14.2
		-1	RP11-334A14.2
		-1	IGHV2-70
		1	RP11-334A14.3
		1	IGLV1-47
		-1	RP11-334A14.5
		-1	IGHV3-71
	IGLV7-46	1	IGLV7-46
		-1	RP11-334A14.6
		-1	IGHV3-72
		1	RP11-334A14.8
	IGLV5-45	1	IGLV5-45
		-1	IGHV3-73
		-1	RP5-1024G6.2
		1	IGLV1-44
		1	RP5-1024G6.5
		1	RP4-784A16.1
	IGLV7-43	1	IGLV7-43
		-1	IGHV3-74
		1	RP4-784A16.2
		-1	RP4-784A16.3
		1	IGLVI-42
		-1	IGHVII-74-1
		1	RP4-784A16.4
		1	IGLVVII-41-1
		-1	IGHV3-75
		1	IGLV1-41
		1	RP4-784A16.5
		-1	IGHV3-76
		-1	RP11-117D22.1
	IGLV1-40	1	IGLV1-40
		-1	RP11-117D22.2
		-1	IGHVIII-76-1
